Bairro,Candidato,Votos
MUTIRÃO,10000 LUZIANE DO MUCURA,61
MUTIRÃO,10123 PAULINHO PROMOÇÕES,86
MUTIRÃO,10456 GLEIDSON DA BOA AGUA,42
MUTIRÃO,10777 PAULO DA JUDITE,59
MUTIRÃO,10789 FLÁVIO CASCAVELENSE,90
MUTIRÃO,11000 FREITAS DA SAÚDE,220
MUTIRÃO,11222 SEBASTIÃO UCHÔA,39
MUTIRÃO,11666 LIBERATO FILHO,1
MUTIRÃO,11789 EDUARDO CRUZ,10
MUTIRÃO,11999 JAIRO TAXISTA,3
MUTIRÃO,12123 NENEM DA VIUVA,59
MUTIRÃO,12555 HELIO ALEGRIA,2
MUTIRÃO,12888 NETO POLI,60
MUTIRÃO,13123 PROFESSOR ADEILDO,28
MUTIRÃO,13222 FÁBIA NAPOLEAO,20
MUTIRÃO,13444 TIAGO ROCHA,46
MUTIRÃO,13789 PROFESSOR ERIVAN,29
MUTIRÃO,18777 FABIO MARTINS,8
MUTIRÃO,20111 ALEUTON SEM RECURSO,1
MUTIRÃO,22000 CLAUDEMIR TOCA FOGO,46
MUTIRÃO,22100 NÚBIA DO ABRIGO MASCOTINHO,78
MUTIRÃO,22111 VINÍCIUS OLINDA,47
MUTIRÃO,22222 RAFAEL AZEVEDO,24
MUTIRÃO,22555 RAFAEL OLIVEIRA,14
MUTIRÃO,22999 PITANGA DA FUNERÁRIA,41
MUTIRÃO,27000 LAURO CARDOSO,33
MUTIRÃO,27123 MARCIO RABELO,42
MUTIRÃO,27456 ENFERMEIRA MARCIA,36
MUTIRÃO,27555 FAFA,3
MUTIRÃO,27888 MARCELO DO PAREDÃO,18
MUTIRÃO,28000 VLADIA DE OLIVEIRA,2
MUTIRÃO,28007 JOSUÉ CORREIA,21
MUTIRÃO,28111 JORGE RODRIGUES,5
MUTIRÃO,28123 PRISCILA LIMA,61
MUTIRÃO,28888 VALDECIR,114
MUTIRÃO,40000 VIEIRA DO TIQUINHO,148
MUTIRÃO,40111 ALLISON CAMILO,14
MUTIRÃO,40123 BETO RAMIRES,26
MUTIRÃO,40444 ADONIAS DO TURISMO,17
MUTIRÃO,40555 NOVO CONSTRUÇÃO,204
MUTIRÃO,40789 GIRLANE DO CEDRO,8
MUTIRÃO,44000 OLIVEIRA SILVA,25
MUTIRÃO,44111 DODÓ,13
MUTIRÃO,44123 GAVIÃO SILVA,35
MUTIRÃO,44444 KEKEU DO MUCURA,34
MUTIRÃO,44456 JEOVANE DO GÁS,6
MUTIRÃO,44555 LURDENIS VIEIRA,49
MUTIRÃO,44567 NETO DANTAS,12
MUTIRÃO,44900 SHEIK DO DR BRUNO,15
MUTIRÃO,45112 LUCIANA,13
MUTIRÃO,45121 MAZE,5
MUTIRÃO,45777 BRUMARK,13
MUTIRÃO,70000 RONALDO FEITOSA,2
MUTIRÃO,70100 RUBENILTON,2
MUTIRÃO,70555 HELENA PORFÍRIO,19
MUTIRÃO,10111 PROFESSORA NONATA COSTA,1
MUTIRÃO,10333 DAVID GARCÊS,19
MUTIRÃO,10610 KINZINHO DO VOLMIR,3
MUTIRÃO,11111 PASTORA HELENA CORDEIRO,15
MUTIRÃO,27777 SERGINHO PARATLETA,6
