Secao,Total de Votos
0001,248
0002,237
0003,143
0004,248
0005,245
0006,299
0007,175
0008,212
0009,220
0011,247
0012,265
0013,262
0014,262
0015,271
0017,210
0018,202
0019,216
0020,213
0021,214
0022,202
0023,220
0024,191
0025,206
0028,241
0034,250
0037,236
0040,222
0041,218
0042,193
0043,164
0044,177
0045,197
0046,86
0047,284
0048,116
0049,215
0050,207
0051,234
0052,242
0053,243
0054,213
0055,270
0056,262
0057,284
0058,267
0059,266
0060,201
0061,211
0062,211
0063,271
0064,269
0065,253
0072,254
0073,240
0074,218
0075,222
0076,276
0077,209
0078,195
0079,281
0080,120
0081,303
0082,277
0083,280
0084,171
0085,185
0089,209
0090,228
0091,213
0092,207
0093,214
0096,244
0098,253
0099,135
0100,218
0101,230
0102,231
0103,229
0106,233
0107,211
0108,278
0109,290
0110,233
0111,213
0112,231
0114,253
0115,264
0118,253
0119,270
0121,170
0123,231
0124,254
0128,278
0129,159
0130,94
0131,247
0132,83
0133,227
0135,128
0138,243
0139,173
0140,290
0141,257
0143,337
0144,131
0146,230
0147,171
0148,223
0149,259
0150,266
0151,291
0152,288
0153,280
0155,242
0156,100
0157,303
0158,255
0159,208
0160,117
0161,282
0163,228
0165,301
0166,189
0167,260
0168,215
0169,130
0170,137
0171,261
0172,177
0173,238
0174,282
0175,285
0176,247
0177,288
0181,194
0184,320
0185,228
0186,1
0187,288
0188,138
0189,231
0190,277
0191,272
0192,245
0193,191
0195,170
0197,104
0198,229
0199,264
0200,289
0201,264
0202,267
0204,265
0205,193
0206,231
0207,269
0210,217
0211,220
0212,217
0213,261
0214,235
0216,230
0217,210
0218,253
0222,231
0223,219
0225,267
0226,263
0227,265
0229,285
0230,142
0233,200
0234,243
0237,258
0238,241
0239,123
0240,270
0243,228
0245,269
0246,223
0247,224
0248,197
0249,209
0250,211
0251,176
0252,225
0253,277
0254,197
0255,290
0256,271
0258,254
0259,235
0261,249
0262,277
0263,206
0265,115
0266,213
0268,112
0270,260
0271,283
0272,243
0276,276
0278,94
0280,273
0281,246
0283,252
0284,264
0285,198
0286,291
0290,280
0292,225
0294,116
